X,Y,OBJECTID,LOCATION_NAME,ADDRESS,RACK_OWNER,RACKS_INSTALLED,RACK_TYPE,TOTAL_CAPACITY,COVERED,NEARBY_LIGHTING,WARD,EXTERNAL,LATITUDE,LONGITUDE
590989.4679,4788268.6473,159,T. Melville Bailey Park,,Park,1,Multi-Ring,6,No,Yes,8,Yes,43.24172904,-79.87928032
601817.3239,4786396.6783,160,Store,146 Hamilton Regional Rd 8,Private,1,Hammer Hoop,2,No,Yes,5,Yes,43.22349236,-79.74628854
591545.3857,4786547.798,161,Apartment,150 Mohawk,Private ,1,Multi-Ring,8,No,Yes,8,Yes,43.226169,-79.87272
597498.8592,4775340.9758,163,Shopping Centre,"2501 Regional Road 56, Binbrook",Private,1,Multi-Ring,10,No,Yes,11,Yes,43.12453,-79.8014
597433.8221,4775418.0007,164,Binbrook Gym,"2501 Hamilton Regional Road 56, Binbrook",Private,1,Multi-Ring,6,No,Yes,11,Yes,43.12523182,-79.80218583
584636.9391,4790946.7207,165,CIBC Bank Dundas,Dundas,Private ,1,Multi-Ring,4,No,Yes,13,Yes,43.26658,-79.9571
585239.4829,4790813.2037,166,McDonalds,"10 Cootes Drive, Dundas",Private ,1,Multi-Ring,10,No,Yes,13,Yes,43.26531,-79.94969732
590055.9951,4789886.9018,167,Steel City Surplus,182 Dundurn Street South,Private,1,Multi-Ring,6,No,Yes,1,Yes,43.25641025,-79.89051137
589708.0348,4791712.767,168,Princess Point,Princess Point,Private ,1,Multi-Ring,8,No,Yes,1,Yes,43.27289,-79.8945
589870.1261,4789279.0562,169,Apartment,Aberdeen @ Dundurn,Private ,1,Multi-Ring,4,Yes,Yes,1,Yes,43.25096,-79.8929
590106.6385,4790307.3807,170,Store: Mcdonalds,Strathcona,Private,1,Multi-Ring,4,No,Yes,1,Yes,43.26018977,-79.88981878
590099.7949,4790326.1984,171,Store: McDonalds,Dundurn Plaza,Private ,1,Multi-Ring,8,No,Yes,1,Yes,43.26036,-79.8899
590150.1718,4790446.342,172,Fortinoes,Strathcona,Private,1,Multi-Ring,10,No,Yes,1,Yes,43.26143563,-79.88925977
584863.3032,4790887.6478,173,Grafton Square,"2 King Street West, Dundas",ROW,1,Hammer Hoop,8,No,Yes,13,Yes,43.26602269,-79.95432029
591814.2407,4790210.3383,174,City Centre,77 James Street North,ROW,1,Hammer Hoop,4,No,Yes,2,Yes,43.25911,-79.8688
590754.854,4789608.475,175,Ryerson Recreation Centre/Ryerson Middle School,251 Duke Street,School,1,Multi-Ring,14,No,Yes,1,Yes,43.25381976,-79.8819489
590019.5155,4789715.0043,176,The Beer Store (Dundurn Location),229 Dundurn Street South,Municipal,1,Hammer Hoop,2,No,Yes,1,Yes,43.25486702,-79.8909888
591718.4383,4789667.4567,177,YMCA,79 James St S,ROW,1,Hammer Hoop,22,No,Yes,2,Yes,43.25423414,-79.8700705
591871.2975,4790193.3386,178,City Centre,77 James Street North,ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25895,-79.8681
591859.6791,4790158.8873,179,City Centre,77 James Street North,ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25864125,-79.86824886
589995.2737,4789621.814,180,Commercial Parking Lot,261 Dundurn Street South,Private,1,Multi-Ring,5,No,Yes,1,Yes,43.25403092,-79.89130262
591698.8213,4789983.0575,181,Jackson Square,"100 King Street West, Hamilton",ROW,1,Advertising Rack,4,No,Yes,2,Yes,43.25707786,-79.87025959
591555.136,4790035.8644,182,Jackson Square,"116 King Street West, Hamilton",ROW,1,Advertising Rack,4,No,Yes,2,Yes,43.25757074,-79.8720207
591368.1602,4790103.3373,183,Store,"170 King Street West, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25820089,-79.87431265
591303.8663,4790131.2527,184,Store,"194 King Street West, Hamilton",Private,1,Multi-Ring,4,No,Yes,2,Yes,43.25846,-79.8751
588980.7313,4790593.1458,185,Simpson Law Office,950 King Street West,Municipal,1,Hammer Hoop,2,No,Yes,1,Yes,43.26289629,-79.90364212
591026.1707,4790256.3682,186,Store,"306 King Street West, Hamilton",ROW,1,Hammer Hoop,6,No,Yes,2,Yes,43.25962,-79.8785
591589.1064,4790010.1506,187,Office,"123 King Street West, Hamilton",ROW,1,Advertising Rack,4,No,Yes,2,Yes,43.25733512,-79.87160653
589019.2945,4790616.1062,188,Fazaka's Law Office,942 King Street West,Municipal,1,Hammer Hoop,4,No,Yes,1,Yes,43.26309845,-79.90316334
591758.3794,4789837.559,189,H&R Block,34 James St S,ROW,1,Hammer Hoop,4,No,Yes,2,Yes,43.2557607,-79.8695502
591731.8068,4789581.6705,190,GO Station,36 Hunter Street East,ROW,2,Multi-Ring,28,Yes,Yes,2,Yes,43.25346019,-79.86992012
591735.5912,4789582.8119,191,GO Station,36 Hunter Street East,ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25347,-79.86987331
588814.8697,4790514.7132,192,Subway,1018 King Street West,Municipal,1,Hammer Hoop,4,No,Yes,1,Yes,43.26220973,-79.90569803
588671.5175,4790396.3325,193,TCBY / Colours and Esthetics Studio,1061 King Street West,Municipal,1,Hammer Hoop,2,No,Yes,1,Yes,43.26116083,-79.90748304
591910.8072,4790284.6605,194,Money Mart,108 James Street North,ROW,1,Advertising Rack,4,No,Yes,2,Yes,43.25976735,-79.86759808
588902.1882,4790529.3267,195,Shoppers Drug Mart - king w,"991 King St W, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,1,Yes,43.262331,-79.90462
588882.9348,4790515.6656,196,Scotiabank - king w,"999 King St W, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,1,Yes,43.26221028,-79.90485939
588858.1675,4790481.5437,197,Pace Credit - king w,"1005 King Street West, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,1,Yes,43.261906,-79.90517
588849.6611,4790477.2581,198,Snooty Fox - king w,"1011 King Street West, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,1,Yes,43.26186842,-79.90527548
588837.2107,4790470.1618,199,CIBC Banking Centre - king w,"1015 King Street West, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,1,Yes,43.261806,-79.90543
588766.8869,4790447.9879,200,The Casual Gourmet,"1027 King Street West, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,1,Yes,43.26161465,-79.90629988
588740.7089,4790433.1825,201,Charlie's Chopsticks,"1035 King Street West, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,1,Yes,43.26148444,-79.90662475
588718.8621,4790420.8775,202,Westdale Florists,1041 King Street West,ROW,1,Hammer Hoop,4,No,Yes,1,Yes,43.26137623,-79.90689586
591854.4525,4789357.8719,203,Cat N Fiddle Pub,"173 John Street South, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25143041,-79.86844679
589939.2128,4789457.2455,204,Ray's Place,"303 Dundurn St S, Hamilton, ON L8P 4L4",ROW,1,Hammer Hoop,8,No,Yes,1,Yes,43.252556,-79.89202
588700.6449,4790384.75,206, Westdale Jewellers,Westdale,ROW,1,Hammer Hoop,4,No,Yes,1,Yes,43.26105312,-79.90712609
587817.2806,4789996.1518,207,Williams,"Main Street
1309 Main St W",ROW,1,Hammer Hoop,4,No,Yes,1,Yes,43.257658,-79.91807
592421.9097,4789678.2089,208,Tundra Music,257 King Street East,,1,Hammer Hoop,2,No,Yes,2,Yes,43.25424502,-79.86140392
593527.6139,4789838.8805,209,Big Bee Variety,440 Cannon St E,ROW,1,Advertising Rack,4,No,Yes,3,Yes,43.25555514,-79.84775755
593041.9783,4790049.902,210,KFC,307 Cannon St E,ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.25751504,-79.85370367
592944.5804,4790061.5894,211,Young Variety,155 Victoria Avenue North (at Cannon),ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.25763228,-79.85490143
